127.0.0.1, 2014-01-05 18:56:18, GET, /, HTTP/1.1, 303, 0.002109
127.0.0.1, 2014-01-05 18:56:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.626690
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000601
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000579
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000394
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000604
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000588
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000527
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001666
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001797
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001289
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000853
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000623
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.026645
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000968
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001332
127.0.0.1, 2014-01-05 18:56:19, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000727
127.0.0.1, 2014-01-05 19:08:55, GET, /admin/default/index, HTTP/1.1, 200, 0.414364
127.0.0.1, 2014-01-05 19:08:55, GET, /admin/static/_2.8.2/js/jquery.js, HTTP/1.1, 200, 0.011952
127.0.0.1, 2014-01-05 19:08:55, GET, /admin/static/_2.8.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001028
127.0.0.1, 2014-01-05 19:08:55, GET, /admin/static/_2.8.2/js/web2py.js, HTTP/1.1, 200, 0.001333
127.0.0.1, 2014-01-05 19:08:55, GET, /admin/static/_2.8.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001980
